"","id","n","correct","near","t","l","cond","csv"
"1",307,50,1,30,1692,5,"uncued",16
"2",307,40,0,30,1761,5,"uncued",8
"3",307,30,1,70,1928,5,"uncued",16
"4",307,10,0,70,1660,5,"uncued",6
"5",307,20,1,30,1427,5,"uncued",18
"6",307,40,1,70,901,5,"uncued",19
"7",307,20,1,70,1111,5,"uncued",14
"8",307,20,0,70,1092,5,"uncued",4
"9",307,20,1,30,882,5,"uncued",16
"10",307,40,1,30,1113,5,"uncued",9
"11",307,40,0,30,1009,5,"uncued",8
"12",307,30,1,70,1060,5,"uncued",3
"13",307,30,1,70,1090,5,"uncued",8
"14",307,20,0,30,1222,5,"uncued",1
"15",307,10,0,30,1108,5,"uncued",8
"16",307,40,1,70,1110,5,"uncued",4
"17",307,50,1,30,1117,5,"uncued",20
"18",307,30,1,30,1322,5,"uncued",13
"19",307,50,1,70,808,5,"uncued",20
"20",307,10,1,30,1333,5,"uncued",11
"21",307,30,1,70,1140,5,"uncued",16
"22",307,20,1,30,875,5,"uncued",11
"23",307,20,1,70,961,5,"uncued",15
"24",307,30,1,30,953,5,"uncued",1
"25",307,30,0,30,1090,5,"uncued",11
"26",307,10,1,30,882,5,"uncued",1
"27",307,10,1,30,983,5,"uncued",16
"28",307,40,1,70,730,5,"uncued",13
"29",307,50,1,70,689,5,"uncued",5
"30",307,50,1,70,836,5,"uncued",1
"31",307,30,1,30,1014,5,"uncued",6
"32",307,20,1,70,870,5,"uncued",13
"33",307,20,1,30,1073,5,"uncued",15
"34",307,50,0,30,735,5,"uncued",16
"35",307,40,0,70,944,5,"uncued",10
"36",307,10,1,30,885,5,"uncued",10
"37",307,20,1,30,1077,5,"uncued",2
"38",307,20,1,70,703,5,"uncued",15
"39",307,40,1,70,742,5,"uncued",8
"40",307,40,1,70,783,5,"uncued",15
"41",307,50,1,70,1072,5,"uncued",18
"42",307,40,0,30,1595,5,"uncued",6
"43",307,50,1,70,796,5,"uncued",11
"44",307,40,1,30,848,5,"uncued",13
"45",307,10,1,30,869,5,"uncued",17
"46",307,40,1,70,652,5,"uncued",5
"47",307,30,1,70,749,5,"uncued",3
"48",307,40,1,70,749,5,"uncued",17
"49",307,30,1,30,798,5,"uncued",11
"50",307,10,1,30,755,5,"uncued",11
"51",307,50,1,70,830,5,"uncued",7
"52",307,10,1,70,808,5,"uncued",15
"53",307,40,1,70,755,5,"uncued",5
"54",307,30,1,30,694,5,"uncued",13
"55",307,30,1,70,945,5,"uncued",11
"56",307,50,1,30,708,5,"uncued",12
"57",307,40,1,30,839,5,"uncued",18
"58",307,30,1,70,779,5,"uncued",14
"59",307,50,1,30,851,5,"uncued",1
"60",307,50,0,70,737,5,"uncued",7
"61",307,30,1,70,959,5,"uncued",6
"62",307,10,1,70,857,5,"uncued",4
"63",307,40,1,30,849,5,"uncued",3
"64",307,30,1,30,817,5,"uncued",8
"65",307,20,1,70,663,5,"uncued",2
"66",307,30,1,70,601,5,"uncued",9
"67",307,10,0,30,748,5,"uncued",3
"68",307,40,1,70,725,5,"uncued",19
"69",307,50,1,30,838,5,"uncued",6
"70",307,30,1,30,896,5,"uncued",14
"71",307,10,1,70,861,5,"uncued",20
"72",307,20,1,30,1053,5,"uncued",4
"73",307,50,1,70,785,5,"uncued",2
"74",307,50,1,30,742,5,"uncued",12
"75",307,20,0,30,803,5,"uncued",1
"76",307,20,0,30,833,5,"uncued",1
"77",307,20,0,70,791,5,"uncued",2
"78",307,30,0,30,719,5,"uncued",1
"79",307,50,1,70,637,5,"uncued",6
"80",307,40,1,70,725,5,"uncued",9
"81",307,20,1,70,626,5,"uncued",9
"82",307,50,1,70,772,5,"uncued",10
"83",307,50,1,70,792,5,"uncued",20
"84",307,40,1,70,738,5,"uncued",14
"85",307,10,0,70,1050,5,"uncued",8
"86",307,20,1,30,853,5,"uncued",10
"87",307,50,1,70,638,5,"uncued",12
"88",307,40,0,30,908,5,"uncued",12
"89",307,10,0,70,984,5,"uncued",7
"90",307,50,1,70,874,5,"uncued",12
"91",307,50,1,30,953,5,"uncued",15
"92",307,50,1,70,672,5,"uncued",1
"93",307,30,1,30,660,5,"uncued",17
"94",307,30,1,30,829,5,"uncued",6
"95",307,40,1,70,786,5,"uncued",6
"96",307,10,1,30,1111,5,"uncued",6
"97",307,30,0,70,805,5,"uncued",14
"98",307,50,1,30,1145,5,"uncued",18
"99",307,50,1,30,949,5,"uncued",10
"100",307,50,1,70,617,5,"uncued",2
"101",307,10,1,70,947,5,"uncued",20
"102",307,20,1,70,814,5,"uncued",1
"103",307,40,0,30,1253,5,"uncued",14
"104",307,40,1,30,998,5,"uncued",9
"105",307,10,1,70,946,5,"uncued",7
"106",307,30,1,70,791,5,"uncued",3
"107",307,30,1,30,1186,5,"uncued",4
"108",307,10,1,30,984,5,"uncued",16
"109",307,50,1,30,1116,5,"uncued",5
"110",307,40,1,30,846,5,"uncued",7
"111",307,20,1,70,886,5,"uncued",8
"112",307,30,1,30,1022,5,"uncued",5
"113",307,30,1,30,903,5,"uncued",19
"114",307,10,1,70,900,5,"uncued",13
"115",307,20,1,70,863,5,"uncued",10
"116",307,50,1,70,861,5,"uncued",19
"117",307,20,1,30,708,5,"uncued",18
"118",307,10,1,70,893,5,"uncued",3
"119",307,40,1,30,949,5,"uncued",6
"120",307,20,1,70,889,5,"uncued",11
"121",307,50,1,30,1172,5,"uncued",10
"122",307,30,1,30,1328,5,"uncued",18
"123",307,50,1,30,785,5,"uncued",16
"124",307,20,1,70,929,5,"uncued",9
"125",307,40,1,70,934,5,"uncued",20
"126",307,10,1,70,792,5,"uncued",4
"127",307,40,0,30,1019,5,"uncued",17
"128",307,50,1,70,996,5,"uncued",3
"129",307,10,1,30,970,5,"uncued",15
"130",307,30,0,30,555,5,"uncued",13
"131",307,20,1,30,776,5,"uncued",17
"132",307,30,0,70,733,5,"uncued",7
"133",307,10,1,70,861,5,"uncued",4
"134",307,20,1,30,990,5,"uncued",4
"135",307,20,1,70,949,5,"uncued",17
"136",307,30,1,30,770,5,"uncued",5
"137",307,30,1,30,949,5,"uncued",14
"138",307,20,1,30,1109,5,"uncued",2
"139",307,20,1,30,789,5,"uncued",17
"140",307,40,1,70,913,5,"uncued",7
"141",307,40,1,70,615,5,"uncued",19
"142",307,50,1,70,783,5,"uncued",20
"143",307,10,1,70,864,5,"uncued",12
"144",307,10,0,30,702,5,"uncued",16
"145",307,30,1,70,756,5,"uncued",19
"146",307,10,1,30,935,5,"uncued",2
"147",307,20,1,70,800,5,"uncued",20
"148",307,30,1,30,697,5,"uncued",19
"149",307,10,1,70,591,5,"uncued",7
"150",307,30,1,70,774,5,"uncued",10
"151",307,50,1,30,803,5,"uncued",11
"152",307,10,1,30,932,5,"uncued",9
"153",307,40,1,70,744,5,"uncued",15
"154",307,10,1,30,765,5,"uncued",5
"155",307,30,1,70,650,5,"uncued",3
"156",307,30,1,30,971,5,"uncued",5
"157",307,50,1,70,701,5,"uncued",9
"158",307,20,1,30,853,5,"uncued",2
"159",307,20,1,70,566,5,"uncued",12
"160",307,40,0,70,627,5,"uncued",19
"161",307,40,1,70,1144,5,"uncued",2
"162",307,10,1,30,714,5,"uncued",5
"163",307,20,1,70,876,5,"uncued",12
"164",307,50,1,70,924,5,"uncued",7
"165",307,40,1,30,949,5,"uncued",17
"166",307,20,1,70,830,5,"uncued",3
"167",307,10,1,30,912,5,"uncued",8
"168",307,40,1,70,574,5,"uncued",13
"169",307,10,1,70,614,5,"uncued",14
"170",307,20,1,30,865,5,"uncued",19
"171",307,10,1,70,814,5,"uncued",18
"172",307,50,1,70,671,5,"uncued",9
"173",307,10,1,70,835,5,"uncued",18
"174",307,30,1,30,921,5,"uncued",9
"175",307,20,1,30,946,5,"uncued",14
"176",307,10,1,70,1412,5,"uncued",17
"177",307,50,1,70,703,5,"uncued",7
"178",307,20,1,30,851,5,"uncued",17
"179",307,20,1,30,701,5,"uncued",4
"180",307,20,1,30,940,5,"uncued",2
"181",307,40,1,30,979,5,"uncued",16
"182",307,50,1,30,808,5,"uncued",10
"183",307,40,1,30,817,5,"uncued",19
"184",307,10,1,70,885,5,"uncued",18
"185",307,30,1,30,813,5,"uncued",14
