"","x","yobs","lt","lw","n"
"1",-2.7,-0.591107038170922,1,0.5,10
"2",-0.6,2.16581936084484,1,0.5,10
"3",0.600000000000001,1.38316564447808,1,0.5,10
"4",1.7,1.02407298720304,1,0.5,10
"5",1.9,1.17789487966318,1,0.5,10
"6",2.1,0.938547173709319,1,0.5,10
"7",2.3,0.83355607142092,1,0.5,10
"8",3.7,-0.569582692855318,1,0.5,10
"9",4.9,-1.17112924438044,1,0.5,10
"10",5,-0.898922038088031,1,0.5,10
"11",-4.1,-0.815944613240337,1,0.5,12
"12",-3.5,-0.982328889915964,1,0.5,12
"13",-3.3,-1.18100040959716,1,0.5,12
"14",-2.6,-2.25061189527264,1,0.5,12
"15",-2.3,-2.48274897341369,1,0.5,12
"16",-0.6,-1.66747651072567,1,0.5,12
"17",-0.3,-1.06829607914188,1,0.5,12
"18",-0.0999999999999996,-0.879854118573851,1,0.5,12
"19",1.1,-0.144319767042702,1,0.5,12
"20",1.7,-0.632114480277209,1,0.5,12
"21",2.4,-1.47444355217265,1,0.5,12
"22",4.7,0.0527969633620225,1,0.5,12
"23",-3.9,-0.663035514930304,1,0.5,14
"24",-3.3,-0.479437530291721,1,0.5,14
"25",-2.6,-0.150935684962947,1,0.5,14
"26",-1.5,0.307567111966228,1,0.5,14
"27",-0.0999999999999996,0.89172423613184,1,0.5,14
"28",0.300000000000001,1.06283629149708,1,0.5,14
"29",0.800000000000001,1.09423266072036,1,0.5,14
"30",1.9,0.187288005937283,1,0.5,14
"31",2.5,-0.588966951047604,1,0.5,14
"32",3.2,-0.0724180281234423,1,0.5,14
"33",3.5,0.392391572009861,1,0.5,14
"34",3.7,0.875212268760818,1,0.5,14
"35",4.3,1.17779195419375,1,0.5,14
"36",4.8,0.802977179450899,1,0.5,14
"37",-4.9,1.68899931478267,1,0.5,16
"38",-4.7,1.19545728466237,1,0.5,16
"39",-3.4,0.63408791806486,1,0.5,16
"40",-3.3,0.768246684942262,1,0.5,16
"41",-3.2,0.774532411396096,1,0.5,16
"42",-2.5,-0.364828804946496,1,0.5,16
"43",-2.2,-0.611346993954004,1,0.5,16
"44",-1,-1.05835201219282,1,0.5,16
"45",-0.3,-0.393951151742593,1,0.5,16
"46",0.5,0.708181179756435,1,0.5,16
"47",0.600000000000001,0.661800986546816,1,0.5,16
"48",1.3,1.17406678476831,1,0.5,16
"49",1.6,1.26969807818524,1,0.5,16
"50",1.7,1.30548072982362,1,0.5,16
"51",3.9,0.215044112954565,1,0.5,16
"52",4.8,0.744757064859972,1,0.5,16
"53",-4.9,1.1817197040518,1,0.5,18
"54",-4.8,1.2050251966894,1,0.5,18
"55",-4,1.57405411445962,1,0.5,18
"56",-3.1,0.524560197111731,1,0.5,18
"57",-2.7,-0.0240048199532481,1,0.5,18
"58",-1.2,0.890704720155636,1,0.5,18
"59",0.5,1.50516264030131,1,0.5,18
"60",0.600000000000001,1.560708484762,1,0.5,18
"61",0.7,1.21933668498858,1,0.5,18
"62",0.800000000000001,0.915807649572338,1,0.5,18
"63",1.2,0.301212243506442,1,0.5,18
"64",1.3,0.0541285409707388,1,0.5,18
"65",1.8,-0.739375854890061,1,0.5,18
"66",2.3,-0.507007815298049,1,0.5,18
"67",2.4,-0.46728537908982,1,0.5,18
"68",2.5,-0.339518150465513,1,0.5,18
"69",3.9,-0.589371363862949,1,0.5,18
"70",4.8,-1.93658367104684,1,0.5,18
"71",-4.9,-0.0543405338617269,1,0.5,20
"72",-4.6,-0.590963423231793,1,0.5,20
"73",-4,-0.186438861994654,1,0.5,20
"74",-3.8,0.0144053617918091,1,0.5,20
"75",-3.7,0.20053727492113,1,0.5,20
"76",-3.3,0.562644396144633,1,0.5,20
"77",-2.5,0.626213295437951,1,0.5,20
"78",-2.1,0.281130885673454,1,0.5,20
"79",-1,-1.110025098016,1,0.5,20
"80",-0.199999999999999,-1.25052742458161,1,0.5,20
"81",0,-1.17580058641078,1,0.5,20
